model,feature_set,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_no_class_weight,core_plus_analog_history,test,4004,161,0.2,0.34210526315789475,0.40372670807453415,0.37037037037037035,0.8028568519353572,0.28182208864152447,3718,125,96,65
dnn_no_class_weight,core_no_BUS,test,4004,161,0.2,0.3923076923076923,0.3167701863354037,0.35051546391752575,0.7817601737772799,0.2903871400135668,3764,79,110,51
dnn_no_class_weight,core_plus_geographic_pressure_only,test,4004,161,0.2,0.3923076923076923,0.3167701863354037,0.35051546391752575,0.7817601737772799,0.2903871400135668,3764,79,110,51
random_forest,core_no_BUS,test,4004,161,0.49999999999999994,0.36619718309859156,0.32298136645962733,0.3432343234323432,0.7886243116871361,0.24073598690125192,3753,90,109,52
random_forest,core_plus_geographic_pressure_only,test,4004,161,0.49999999999999994,0.36619718309859156,0.32298136645962733,0.3432343234323432,0.7886243116871361,0.24073598690125192,3753,90,109,52
random_forest,core_plus_analog_pressure,test,4004,161,0.44999999999999996,0.30687830687830686,0.36024844720496896,0.33142857142857146,0.7913961498117896,0.24705700480001458,3712,131,103,58
random_forest,core_plus_all_analog,test,4004,161,0.39999999999999997,0.2532894736842105,0.4782608695652174,0.3311827956989247,0.8284256444321609,0.3014261093746617,3616,227,84,77
random_forest,core_plus_analog_and_geographic,test,4004,161,0.39999999999999997,0.2532894736842105,0.4782608695652174,0.3311827956989247,0.8284256444321609,0.3014261093746617,3616,227,84,77
dnn_no_class_weight,core_plus_analog_pressure,test,4004,161,0.2,0.3333333333333333,0.3105590062111801,0.3215434083601286,0.7703140177429965,0.2733044012929859,3743,100,111,50
random_forest,core_plus_analog_history,test,4004,161,0.39999999999999997,0.2316715542521994,0.4906832298136646,0.3147410358565737,0.8325648149495007,0.2953072882093971,3581,262,82,79
dnn_no_class_weight,core_plus_all_analog,test,4004,161,0.1,0.20418848167539266,0.484472049689441,0.287292817679558,0.7911407851332503,0.26225758017561857,3539,304,83,78
dnn_no_class_weight,core_plus_analog_and_geographic,test,4004,161,0.1,0.20418848167539266,0.484472049689441,0.287292817679558,0.7911407851332504,0.2622575801756185,3539,304,83,78
